Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,2008,2009,2010,2011,2012,2013,2014,2015,Y17,Y18,Y19,Y20,Y21,Y22,Site,Sex.Letter,Sex,Age
,,,,,,,,1,0,0,0,0,0,0,0,,,,,,,AWV,M,1,AHY
,,,,,,,,1,0,0,0,0,0,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,1,1,0,0,0,0,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,1,1,1,1,0,0,0,0,,,,,,,AWV,M,1,SY
,,,,,,,,1,0,0,0,0,0,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,1,0,0,0,0,0,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,1,1,0,0,0,0,0,0,,,,,,,AWV,F,2,ASY
,,,,,,,,1,1,1,0,0,0,0,0,,,,,,,AWV,M,1,SY
,,,,,,,,1,1,1,1,0,0,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,1,1,1,0,0,0,0,0,,,,,,,AWV,M,1,SY
,,,,,,,,1,1,0,0,0,0,0,0,,,,,,,AWV,F,2,ASY
,,,,,,,,1,1,1,0,1,0,0,0,,,,,,,AWV,F,2,SY
,,,,,,,,1,1,1,0,0,0,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,1,1,0,0,0,0,0,0,,,,,,,AWV,F,2,ASY
,,,,,,,,1,1,1,0,0,0,0,0,,,,,,,AWV,F,2,ASY
,,,,,,,,1,0,0,0,0,0,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,1,0,0,0,0,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,1,0,1,0,0,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,1,0,0,0,0,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,1,1,0,0,0,0,0,,,,,,,AWV,F,2,ASY
,,,,,,,,0,1,0,0,0,0,0,0,,,,,,,AWV,M,1,SY
,,,,,,,,0,1,0,0,0,0,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,1,0,1,0,0,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,1,1,0,0,0,0,0,,,,,,,AWV,M,1,SY
,,,,,,,,0,1,1,0,0,0,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,1,1,0,0,0,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,1,0,0,0,0,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,1,0,0,0,0,0,0,,,,,,,AWV,M,1,SY
,,,,,,,,0,1,0,1,1,1,0,0,,,,,,,AWV,M,1,SY
,,,,,,,,0,1,1,0,0,0,0,0,,,,,,,AWV,M,1,SY
,,,,,,,,0,1,1,0,0,0,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,1,0,0,0,0,0,0,,,,,,,AWV,M,1,SY
,,,,,,,,0,1,0,0,0,0,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,1,1,1,1,0,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,1,0,0,0,0,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,1,1,1,1,0,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,1,1,0,0,0,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,1,0,0,0,0,0,0,,,,,,,AWV,F,2,ASY
,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,AWV,F,2,ASY
,,,,,,,,0,1,0,0,0,0,0,0,,,,,,,AWV,F,2,ASY
,,,,,,,,0,1,0,0,0,0,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,1,0,1,0,0,0,0,,,,,,,AWV,F,2,SY
,,,,,,,,0,0,1,1,0,0,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,0,1,0,0,0,0,0,,,,,,,AWV,M,1,SY
,,,,,,,,0,0,1,1,1,0,1,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,0,1,1,0,0,0,0,,,,,,,AWV,F,2,ASY
,,,,,,,,0,0,1,0,0,0,0,0,,,,,,,AWV,M,1,SY
,,,,,,,,0,0,1,1,1,0,0,0,,,,,,,AWV,M,1,SY
,,,,,,,,0,0,1,1,0,0,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,0,1,1,0,0,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,0,1,1,0,0,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,0,1,1,1,0,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,0,1,1,0,0,0,0,,,,,,,AWV,F,2,SY
,,,,,,,,0,0,1,1,1,1,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,0,1,0,0,0,0,0,,,,,,,AWV,M,1,SY
,,,,,,,,0,0,1,0,0,0,0,0,,,,,,,AWV,F,2,AHY
,,,,,,,,0,0,1,1,1,0,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,0,1,1,0,0,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,0,1,0,0,0,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,0,1,1,0,0,0,0,,,,,,,AWV,M,1,SY
,,,,,,,,0,0,1,0,0,0,0,0,,,,,,,AWV,M,1,AHY
,,,,,,,,0,0,1,0,0,0,0,0,,,,,,,AWV,F,2,ASY
,,,,,,,,0,0,1,0,0,0,0,0,,,,,,,AWV,F,2,ASY
,,,,,,,,0,0,1,0,0,0,0,0,,,,,,,AWV,F,2,SY
,,,,,,,,0,0,1,0,0,0,0,0,,,,,,,AWV,F,2,SY
,,,,,,,,0,0,1,0,1,0,0,0,,,,,,,AWV,F,2,ASY
,,,,,,,,0,0,1,1,0,0,0,0,,,,,,,AWV,F,2,SY
,,,,,,,,0,0,1,0,0,0,0,0,,,,,,,AWV,F,2,ASY
,,,,,,,,0,0,1,0,0,0,0,0,,,,,,,AWV,F,2,AHY
,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,0,0,1,1,1,0,0,,,,,,,AWV,M,1,SY
,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,AWV,M,1,SY
,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,AWV,M,1,SY
,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,AWV,M,1,SY
,,,,,,,,0,0,0,1,1,1,1,0,,,,,,,AWV,M,1,SY
,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,AWV,M,1,SY
,,,,,,,,0,0,0,1,1,0,0,0,,,,,,,AWV,M,1,SY
,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,0,0,1,1,1,1,0,,,,,,,AWV,M,1,SY
,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,AWV,F,2,ASY
,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,AWV,F,2,ASY
,,,,,,,,0,0,0,1,1,1,0,0,,,,,,,AWV,F,2,ASY
,,,,,,,,0,0,0,1,1,0,0,0,,,,,,,AWV,F,2,ASY
,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,AWV,F,2,SY
,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,AWV,F,2,ASY
,,,,,,,,0,0,0,1,1,1,0,0,,,,,,,AWV,M,1,SY
,,,,,,,,0,0,0,1,1,1,1,0,,,,,,,AWV,F,2,ASY
,,,,,,,,0,0,0,0,1,1,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,0,0,0,1,0,0,0,,,,,,,AWV,M,1,SY
,,,,,,,,0,0,0,0,1,0,0,0,,,,,,,AWV,M,1,SY
,,,,,,,,0,0,0,0,1,1,0,0,,,,,,,AWV,M,1,SY
,,,,,,,,0,0,0,0,1,0,0,0,,,,,,,AWV,F,2,AHY
,,,,,,,,0,0,0,0,1,0,0,0,,,,,,,AWV,M,1,SY
,,,,,,,,0,0,0,0,1,0,0,0,,,,,,,AWV,M,1,SY
,,,,,,,,0,0,0,0,1,0,0,0,,,,,,,AWV,M,1,SY
,,,,,,,,0,0,0,0,1,0,0,0,,,,,,,AWV,M,1,SY
,,,,,,,,0,0,0,0,1,0,0,0,,,,,,,AWV,M,1,SY
,,,,,,,,0,0,0,0,1,0,0,0,,,,,,,AWV,M,1,SY
,,,,,,,,0,0,0,0,1,0,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,0,0,0,1,1,0,0,,,,,,,AWV,M,1,SY
,,,,,,,,0,0,0,0,1,0,0,0,,,,,,,AWV,M,1,SY
,,,,,,,,0,0,0,0,1,0,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,0,0,0,1,0,0,0,,,,,,,AWV,M,1,SY
,,,,,,,,0,0,0,0,1,0,0,0,,,,,,,AWV,M,1,SY
,,,,,,,,0,0,0,0,1,1,0,0,,,,,,,AWV,F,2,ASY
,,,,,,,,0,0,0,0,1,0,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,0,0,0,1,0,0,0,,,,,,,AWV,F,2,ASY
,,,,,,,,0,0,0,0,1,0,0,0,,,,,,,AWV,F,2,ASY
,,,,,,,,0,0,0,0,1,0,0,0,,,,,,,AWV,F,2,SY
,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,AWV,F,2,SY
,,,,,,,,0,0,0,0,1,0,0,0,,,,,,,AWV,F,2,SY
,,,,,,,,0,0,0,0,1,1,1,0,,,,,,,AWV,F,2,SY
,,,,,,,,0,0,0,0,0,1,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,0,0,0,0,1,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,0,0,0,0,1,1,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,0,0,0,0,1,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,0,0,0,0,1,0,0,,,,,,,AWV,M,1,SY
,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,AWV,M,1,SY
,,,,,,,,0,0,0,0,0,1,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,0,0,0,0,1,1,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,0,0,0,0,1,1,0,,,,,,,AWV,F,2,SY
,,,,,,,,0,0,0,0,0,1,1,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,0,0,0,0,1,0,0,,,,,,,AWV,F,2,ASY
,,,,,,,,0,0,0,0,0,1,0,0,,,,,,,AWV,M,1,SY
,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,AWV,M,1,SY
,,,,,,,,0,0,0,0,0,1,0,0,,,,,,,AWV,M,1,SY
,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,AWV,M,1,SY
,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,AWV,M,1,SY
,,,,,,,,0,0,0,0,0,1,0,0,,,,,,,AWV,F,2,ASY
,,,,,,,,0,0,0,0,0,1,1,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,0,0,0,0,1,1,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,0,0,0,0,1,0,0,,,,,,,AWV,F,2,ASY
,,,,,,,,0,0,0,0,0,1,1,0,,,,,,,AWV,F,2,ASY
,,,,,,,,0,0,0,0,0,1,0,0,,,,,,,AWV,F,2,ASY
,,,,,,,,0,0,0,0,0,1,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,0,0,0,0,1,0,0,,,,,,,AWV,M,1,SY
,,,,,,,,0,0,0,0,0,1,0,0,,,,,,,AWV,F,2,SY
,,,,,,,,0,0,0,0,0,1,1,0,,,,,,,AWV,F,2,SY
,,,,,,,,0,0,0,0,0,1,0,0,,,,,,,AWV,F,2,ASY
,,,,,,,,0,0,0,0,0,1,0,0,,,,,,,AWV,F,2,ASY
,,,,,,,,0,0,0,0,0,1,0,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,0,0,0,0,0,1,0,,,,,,,AWV,M,1,ASY
,,,,,,,,0,0,0,0,0,0,1,0,,,,,,,AWV,M,1,ASY
